Cumulative Confirmed,Daily Discharged
1.0,0.0
3.0,0.0
4.0,0.0
4.0,0.0
5.0,0.0
7.0,0.0
10.0,0.0
13.0,0.0
16.0,0.0
18.0,0.0
18.0,0.0
18.0,0.0
24.0,1.0
28.0,0.0
30.0,0.0
33.0,1.0
40.0,0.0
43.0,4.0
45.0,1.0
47.0,2.0
50.0,6.0
58.0,0.0
67.0,2.0
72.0,1.0
75.0,1.0
77.0,5.0
81.0,5.0
84.0,5.0
85.0,3.0
86.0,10.0
89.0,2.0
89.0,2.0
90.0,2.0
91.0,5.0
93.0,4.0
96.0,4.0
98.0,3.0
102.0,3.0
106.0,2.0
108.0,4.0
110.0,0.0
112.0,1.0
117.0,2.0
130.0,1.0
138.0,8.0
150.0,0.0
160.0,3.0
166.0,0.0
178.0,3.0
187.0,0.0
200.0,1.0
212.0,8.0
226.0,0.0
243.0,4.0
266.0,5.0
313.0,3.0
345.0,7.0
385.0,7.0
432.0,9.0
455.0,4.0
509.0,8.0
558.0,3.0
631.0,5.0
683.0,12.0
732.0,11.0
802.0,15.0
844.0,14.0
879.0,16.0
926.0,12.0
1000.0,5.0
1049.0,21.0
1114.0,16.0
1189.0,15.0
1309.0,23.0
1375.0,24.0
1481.0,33.0
1623.0,29.0
1910.0,54.0
2108.0,32.0
2299.0,35.0
2532.0,32.0
2918.0,26.0
3252.0,25.0
3699.0,41.0
4427.0,31.0
5050.0,25.0
5992.0,38.0
6588.0,26.0
8014.0,33.0
9125.0,39.0
10141.0,57.0
11178.0,36.0
12075.0,38.0
12693.0,46.0
13624.0,58.0
14423.0,35.0
14951.0,33.0
15641.0,62.0
16169.0,56.0
17101.0,24.0
17548.0,79.0
18205.0,61.0
18778.0,49.0
19410.0,62.0
20198.0,115.0
20939.0,78.0
21707.0,328.0
22460.0,256.0
23336.0,425.0
23787.0,504.0
24671.0,626.0
25346.0,958.0
26098.0,1164.0
26891.0,1275.0
27356.0,1094.0
28038.0,998.0
28343.0,495.0
28794.0,530.0
29364.0,842.0
29812.0,910.0
30426.0,838.0
31068.0,927.0
31616.0,994.0
31960.0,862.0
32343.0,706.0
32876.0,832.0
33249.0,1018.0
33860.0,1337.0
34366.0,1096.0
34884.0,972.0
35292.0,767.0
35836.0,709.0
36405.0,407.0
36922.0,322.0
37183.0,305.0
37527.0,350.0
37910.0,327.0
38296.0,482.0
38514.0,509.0
38965.0,655.0
39387.0,754.0
39850.0,754.0
40197.0,768.0
40604.0,781.0
40818.0,777.0
40969.0,797.0
41216.0,775.0
41473.0,774.0
41615.0,747.0
41833.0,765.0
42095.0,718.0
42313.0,648.0
42432.0,405.0
42623.0,304.0
42736.0,305.0
42955.0,221.0
43246.0,338.0
43459.0,345.0
43661.0,477.0
43907.0,515.0
44122.0,511.0
44310.0,418.0
44479.0,340.0
44664.0,348.0
44800.0,324.0
44983.0,276.0
45140.0,285.0
45297.0,321.0
45422.0,322.0
45612.0,135.0
45782.0,246.0
45960.0,259.0
46282.0,256.0
46629.0,196.0
46878.0,251.0
47126.0,268.0
47453.0,321.0
47655.0,256.0
47912.0,253.0
48035.0,285.0
48434.0,213.0
48744.0,211.0
49098.0,220.0
49375.0,157.0
49888.0,180.0
50369.0,169.0
50838.0,171.0
51197.0,201.0
51531.0,205.0
51809.0,210.0
52205.0,183.0
52512.0,249.0
52825.0,186.0
53051.0,253.0
53346.0,275.0
54254.0,314.0
54555.0,263.0
54797.0,281.0
54929.0,271.0
55104.0,332.0
55292.0,694.0
55353.0,519.0
55395.0,392.0
55497.0,216.0
55580.0,313.0
55661.0,472.0
55747.0,432.0
55838.0,397.0
55938.0,183.0
56031.0,277.0
56099.0,309.0
56216.0,532.0
56266.0,269.0
56353.0,244.0
56404.0,423.0
56435.0,230.0
56495.0,155.0
56572.0,168.0
56666.0,198.0
56717.0,110.0
56771.0,139.0
56812.0,72.0
56852.0,91.0
56860.0,142.0
56908.0,137.0
56948.0,146.0
56982.0,93.0
57022.0,66.0
57044.0,75.0
57091.0,53.0
57166.0,31.0
57229.0,66.0
57315.0,49.0
57357.0,92.0
57406.0,65.0
57454.0,38.0
57488.0,82.0
57514.0,71.0
57532.0,84.0
57543.0,32.0
57558.0,71.0
57576.0,39.0
57606.0,60.0
57627.0,21.0
57639.0,29.0
57654.0,42.0
57665.0,8.0
57685.0,19.0
57700.0,8.0
57715.0,26.0
57742.0,73.0
57765.0,22.0
57784.0,24.0
57794.0,22.0
57800.0,28.0
57812.0,13.0
57819.0,22.0
57830.0,15.0
57840.0,12.0
57849.0,44.0
57859.0,7.0
57866.0,23.0
57876.0,7.0
57880.0,23.0
57884.0,12.0
57889.0,12.0
57892.0,12.0
57901.0,20.0
57904.0,14.0
57911.0,9.0
57915.0,12.0
57921.0,0.0
57933.0,2.0
57941.0,8.0
57951.0,3.0
57965.0,12.0
57970.0,14.0
57973.0,21.0
57980.0,4.0
57987.0,7.0
57994.0,9.0
58003.0,10.0
58015.0,4.0
58019.0,11.0
58020.0,0.0
58029.0,13.0
58036.0,1.0
58043.0,11.0
58047.0,10.0
58054.0,9.0
58056.0,7.0
58064.0,6.0
58073.0,4.0
58091.0,5.0
58102.0,12.0
58114.0,6.0
58116.0,11.0
58119.0,10.0
58124.0,4.0
